Nom;ISIN;Type;Volume;Prix;URL
TotalEnergies SE;FR0000120271;Action;6233814;48.665;/fr/marche/euronext-paris/totalenergies-se-FR0000120271-TTE-EUR-XPAR/seance
L'Air Liquide;FR0000120073;Action;988773;168.34;/fr/marche/euronext-paris/l-air-liquide-FR0000120073-AI-EUR-XPAR/seance
THEAM EASYETF BNP PA...;FR0011550185;Tracker;546887;23.2071;/fr/marche/euronext-paris/theam-easyetf-bnp-paribas-easy-FR0011550185-ESE-EUR-XPAR/seance
AMUNDI MSCI WORLD UC...;LU1681043599;Tracker;11148;479.9277;/fr/marche/euronext-paris/amundi-msci-world-ucits-etf-LU1681043599-CW8-EUR-XPAR/seance
Amundi MSCI World Di...;LU2655993207;Tracker;29120;28.755;/fr/marche/euronext-paris/amundi-msci-world-dist-LU2655993207-EWLD-EUR-XPAR/seance
BOURSE DIRECT;FR0000074254;Action;5670;4.30;/fr/marche/euronext-paris/bourse-direct-FR0000074254-BSD-EUR-XPAR/seance
LVMH Moët Hennessy L...;FR0000121014;Action;574896;524.4;/fr/marche/euronext-paris/lvmh-moet-hennessy-louis-vuitton-se-FR0000121014-MC-EUR-XPAR/seance
Amundi PEA S&P 500 U...;FR0011871128;Tracker;140961;40.305;/fr/marche/euronext-paris/amundi-pea-s-p-500-ucits-etf-a-FR0011871128-PSP5-EUR-XPAR/seance
Stellantis N.V.;NL00150001Q9;Action;6340415;7.665;/fr/marche/euronext-paris/stellantis-n-v-NL00150001Q9-STLAP-EUR-XPAR/seance
Amundi PEA Nasdaq-10...;FR0011871110;Tracker;57635;64.68;/fr/marche/euronext-paris/amundi-pea-nasdaq-100-ucits-et-FR0011871110-PUST-EUR-XPAR/seance
AXA;FR0000120628;Action;5053470;37.13;/fr/marche/euronext-paris/axa-FR0000120628-CS-EUR-XPAR/seance
Viel & Cie;FR0000050049;Action;31571;13.45;/fr/marche/euronext-paris/viel-cie-FR0000050049-VIL-EUR-XPAR/seance
Orange;FR0000133308;Action;11270859;12.205;/fr/marche/euronext-paris/orange-FR0000133308-ORA-EUR-XPAR/seance
BNP PARIBAS ACT.A;FR0000131104;Action;5435045;65.61;/fr/marche/euronext-paris/bnp-paribas-act-a-FR0000131104-BNP-EUR-XPAR/seance
La Française des Jeu...;FR0013451333;Action;384523;29.74;/fr/marche/euronext-paris/la-francaise-des-jeux-FR0013451333-FDJU-EUR-XPAR/seance
Sanofi;FR0000120578;Action;2430603;89.62;/fr/marche/euronext-paris/sanofi-FR0000120578-SAN-EUR-XPAR/seance
Schneider Electric S...;FR0000121972;Action;1364329;197.00;/fr/marche/euronext-paris/schneider-electric-se-FR0000121972-SU-EUR-XPAR/seance
VINCI;FR0000125486;Action;1387932;113.25;/fr/marche/euronext-paris/vinci-FR0000125486-DG-EUR-XPAR/seance
ENGIE;FR0010208488;Action;6656911;18.060;/fr/marche/euronext-paris/engie-FR0010208488-ENGI-EUR-XPAR/seance
Amundi PEA MSCI Emer...;FR0013412020;Tracker;25194;21.750;/fr/marche/euronext-paris/amundi-pea-msci-emerging-marke-FR0013412020-PAEEM-EUR-XPAR/seance
Airbus SE;NL0000235190;Action;1972263;134.86;/fr/marche/euronext-paris/airbus-se-NL0000235190-AIR-EUR-XPAR/seance
AtoS SE;FR0000051732;Action;306684659;0.0038;/fr/marche/euronext-paris/atos-se-FR0000051732-ATO-EUR-XPAR/seance
Rubis;FR0013269123;Action;382366;24.90;/fr/marche/euronext-paris/rubis-FR0013269123-RUI-EUR-XPAR/seance
AMUNDI ASSET MANAGEM...;FR0013412285;Tracker;61521;37.550;/fr/marche/euronext-paris/amundi-asset-management-amundi-FR0013412285-PE500-EUR-XPAR/seance
L'Oréal;FR0000120321;Action;449954;347.60;/fr/marche/euronext-paris/l-oreal-FR0000120321-OR-EUR-XPAR/seance
CREDIT AGRICOLE;FR0000045072;Action;5726661;15.410;/fr/marche/euronext-paris/credit-agricole-FR0000045072-ACA-EUR-XPAR/seance
Pernod Ricard;FR0000120693;Action;526678;90.68;/fr/marche/euronext-paris/pernod-ricard-FR0000120693-RI-EUR-XPAR/seance
STMicroelectronics N...;NL0000226223;Action;5275662;17.584;/fr/marche/euronext-paris/stmicroelectronics-n-v-NL0000226223-STMPA-EUR-XPAR/seance
Veolia Environnement;FR0000124141;Action;2407683;29.73;/fr/marche/euronext-paris/veolia-environnement-FR0000124141-VIE-EUR-XPAR/seance
Alstom;FR0010220475;Action;1102681;18.490;/fr/marche/euronext-paris/alstom-FR0010220475-ALO-EUR-XPAR/seance
Dassault Systèmes SE;FR0014003TT8;Action;2131432;32.12;/fr/marche/euronext-paris/dassault-systemes-se-FR0014003TT8-DSY-EUR-XPAR/seance
Amundi PEA US Tech S...;FR0013412269;Tracker;17610;46.643;/fr/marche/euronext-paris/amundi-pea-us-tech-screened-uc-FR0013412269-PANX-EUR-XPAR/seance
SOCIETE GENERALE;FR0000130809;Action;3322067;37.07;/fr/marche/euronext-paris/societe-generale-FR0000130809-GLE-EUR-XPAR/seance
Compagnie de Saint-G...;FR0000125007;Action;1156123;82.36;/fr/marche/euronext-paris/compagnie-de-saint-gobain-FR0000125007-SGO-EUR-XPAR/seance
Thales;FR0000121329;Action;326048;245.1;/fr/marche/euronext-paris/thales-FR0000121329-HO-EUR-XPAR/seance
Kering;FR0000121485;Action;351939;168.02;/fr/marche/euronext-paris/kering-FR0000121485-KER-EUR-XPAR/seance
Carrefour;FR0000120172;Action;3107576;13.095;/fr/marche/euronext-paris/carrefour-FR0000120172-CA-EUR-XPAR/seance
Danone;FR0000120644;Action;1591298;71.20;/fr/marche/euronext-paris/danone-FR0000120644-BN-EUR-XPAR/seance
Air France-KLM;FR001400J770;Action;1227443;7.444;/fr/marche/euronext-paris/air-france-klm-FR001400J770-AF-EUR-XPAR/seance
Nexity;FR0010112524;Action;165548;8.790;/fr/marche/euronext-paris/nexity-FR0010112524-NXI-EUR-XPAR/seance
Renault;FR0000131906;Action;971039;42.74;/fr/marche/euronext-paris/renault-FR0000131906-RNO-EUR-XPAR/seance
Vallourec;FR0013506730;Action;713765;14.645;/fr/marche/euronext-paris/vallourec-FR0013506730-VK-EUR-XPAR/seance
Worldline;FR0011981968;Action;1300267;5.350;/fr/marche/euronext-paris/worldline-FR0011981968-WLN-EUR-XPAR/seance
Teleperformance SE;FR0000051807;Action;202924;86.50;/fr/marche/euronext-paris/teleperformance-se-FR0000051807-TEP-EUR-XPAR/seance
Gaztransport & Techn...;FR0011726835;Action;98013;129.8;/fr/marche/euronext-paris/gaztransport-technigaz-FR0011726835-GTT-EUR-XPAR/seance
Bouygues SA;FR0000120503;Action;907864;35.04;/fr/marche/euronext-paris/bouygues-sa-FR0000120503-EN-EUR-XPAR/seance
BNP Paribas Easy Sto...;FR0011550193;Tracker;122736;15.414;/fr/marche/euronext-paris/bnp-paribas-easy-stoxx-europe-FR0011550193-ETZ-EUR-XPAR/seance
Compagnie Générale d...;FR001400AJ45;Action;1588712;29.34;/fr/marche/euronext-paris/compagnie-generale-des-etablissements-michelin-FR001400AJ45-ML-EUR-XPAR/seance
Amundi PEA Eau (MSCI...;FR0011882364;Tracker;11105;26.900;/fr/marche/euronext-paris/amundi-pea-eau-msci-water-uc-FR0011882364-AWAT-EUR-XPAR/seance
Ubisoft Entertainmen...;FR0000054470;Action;1264337;8.688;/fr/marche/euronext-paris/ubisoft-entertainment-FR0000054470-UBI-EUR-XPAR/seance
Safran;FR0000073272;Action;864980;204.7;/fr/marche/euronext-paris/safran-FR0000073272-SAF-EUR-XPAR/seance
Capgemini SE;FR0000125338;Action;619038;124.60;/fr/marche/euronext-paris/capgemini-se-FR0000125338-CAP-EUR-XPAR/seance
Eutelsat Communicati...;FR0010221234;Action;1025199;3.660;/fr/marche/euronext-paris/eutelsat-communications-FR0010221234-ETL-EUR-XPAR/seance
Clariane SE;FR0010386334;Action;701961;3.642;/fr/marche/euronext-paris/clariane-se-FR0010386334-CLARI-EUR-XPAR/seance
Valneva;FR0004056851;Action;639931;2.774;/fr/marche/euronext-paris/valneva-FR0004056851-VLA-EUR-XPAR/seance
Soitec;FR0013227113;Action;193543;43.58;/fr/marche/euronext-paris/soitec-FR0013227113-SOI-EUR-XPAR/seance
Amundi PEA Inde (MSC...;FR0011869320;Tracker;17590;23.958;/fr/marche/euronext-paris/amundi-pea-inde-msci-india-u-FR0011869320-PINR-EUR-XPAR/seance
EssilorLuxottica;FR0000121667;Action;801527;241.2;/fr/marche/euronext-paris/essilorluxottica-FR0000121667-EL-EUR-XPAR/seance
AMUNDI ETF PEA MSCI ...;FR0013412038;Tracker;13378;28.955;/fr/marche/euronext-paris/amundi-etf-pea-msci-europe-uci-FR0013412038-PCEU-EUR-XPAR/seance
Ayvens;FR0013258662;Action;208056;7.780;/fr/marche/euronext-paris/ayvens-FR0013258662-AYV-EUR-XPAR/seance
Amundi PEA MSCI Emer...;FR0013412012;Tracker;16752;22.511;/fr/marche/euronext-paris/amundi-pea-msci-emerging-asia-FR0013412012-PAASI-EUR-XPAR/seance
FORVIA SE;FR0000121147;Action;2180484;5.618;/fr/marche/euronext-paris/forvia-se-FR0000121147-FRVIA-EUR-XPAR/seance
Amundi CAC 40 UCITS ...;FR0007052782;Tracker;56557;70.14;/fr/marche/euronext-paris/amundi-cac-40-ucits-etf-dist-FR0007052782-CAC-EUR-XPAR/seance
Hermès International;FR0000052292;Action;62531;2 287.0000;/fr/marche/euronext-paris/hermes-international-FR0000052292-RMS-EUR-XPAR/seance
EMEIS;FR001400NLM4;Action;531405;10.314;/fr/marche/euronext-paris/emeis-FR001400NLM4-EMEIS-EUR-XPAR/seance
COFACE;FR0010667147;Action;234839;16.13;/fr/marche/euronext-paris/coface-FR0010667147-COFA-EUR-XPAR/seance
Solutions 30 SE;FR0013379484;Action;408716;1.537;/fr/marche/euronext-paris/solutions-30-se-FR0013379484-S30-EUR-XPAR/seance
AMUNDI RUSSELL 2000 ...;LU1681038672;Tracker;11436;236.7975;/fr/marche/euronext-paris/amundi-russell-2000-ucits-etf-LU1681038672-RS2K-EUR-XPAR/seance
Vivendi SE;FR0000127771;Action;1788005;2.364;/fr/marche/euronext-paris/vivendi-se-FR0000127771-VIV-EUR-XPAR/seance
Eramet;FR0000131757;Action;54145;44.56;/fr/marche/euronext-paris/eramet-FR0000131757-ERA-EUR-XPAR/seance
Eurofins Scientific ...;FR0014000MR3;Action;488464;47.50;/fr/marche/euronext-paris/eurofins-scientific-se-FR0014000MR3-ERF-EUR-XPAR/seance
Valeo SE;FR0013176526;Action;1819661;7.502;/fr/marche/euronext-paris/valeo-se-FR0013176526-FR-EUR-XPAR/seance
Imerys;FR0000120859;Action;75241;26.96;/fr/marche/euronext-paris/imerys-FR0000120859-NK-EUR-XPAR/seance
ABC ARBITRAGE;FR0004040608;Action;92707;5.77;/fr/marche/euronext-paris/abc-arbitrage-FR0004040608-ABCA-EUR-XPAR/seance
Technip Energies N.V...;NL0014559478;Action;253133;27.36;/fr/marche/euronext-paris/technip-energies-n-v-NL0014559478-TE-EUR-XPAR/seance
OVH Groupe;FR0014005HJ9;Action;143147;10.99;/fr/marche/euronext-paris/ovh-groupe-FR0014005HJ9-OVH-EUR-XPAR/seance
GENFIT;FR0004163111;Action;135755;2.980;/fr/marche/euronext-paris/genfit-FR0004163111-GNFT-EUR-XPAR/seance
Accor;FR0000120404;Action;813392;37.83;/fr/marche/euronext-paris/accor-FR0000120404-AC-EUR-XPAR/seance
AMUNDI;FR0004125920;Action;281805;61.95;/fr/marche/euronext-paris/amundi-FR0004125920-AMUN-EUR-XPAR/seance
Amundi CAC 40 UCITS ...;FR0013380607;Tracker;74910;34.240;/fr/marche/euronext-paris/amundi-cac-40-ucits-etf-acc-FR0013380607-CACC-EUR-XPAR/seance
Verallia;FR0013447729;Action;205243;27.10;/fr/marche/euronext-paris/verallia-FR0013447729-VRLA-EUR-XPAR/seance
Amundi CAC 40 Daily ...;FR0010411884;Tracker;22674130;0.9198;/fr/marche/euronext-paris/amundi-cac-40-daily-2x-inve-FR0010411884-BX4-EUR-XPAR/seance
Derichebourg;FR0000053381;Action;81046;5.230;/fr/marche/euronext-paris/derichebourg-FR0000053381-DBG-EUR-XPAR/seance
TF1;FR0000054900;Action;178173;8.270;/fr/marche/euronext-paris/tf1-FR0000054900-TFI-EUR-XPAR/seance
Interparfums;FR0004024222;Action;35676;35.675;/fr/marche/euronext-paris/interparfums-FR0004024222-ITP-EUR-XPAR/seance
Dassault Aviation;FR0014004L86;Action;54080;291.4;/fr/marche/euronext-paris/dassault-aviation-FR0014004L86-AM-EUR-XPAR/seance
EUROAPI;FR0014008VX5;Action;62780;2.386;/fr/marche/euronext-paris/euroapi-FR0014008VX5-EAPI-EUR-XPAR/seance
Mersen;FR0000039620;Action;49912;17.86;/fr/marche/euronext-paris/mersen-FR0000039620-MRN-EUR-XPAR/seance
SCOR SE;FR0010411983;Action;799151;23.54;/fr/marche/euronext-paris/scor-se-FR0010411983-SCR-EUR-XPAR/seance
AMUNDI ETF PEA JAPAN...;FR0013411980;Tracker;14057;25.593;/fr/marche/euronext-paris/amundi-etf-pea-japan-topix-uci-FR0013411980-PTPXE-EUR-XPAR/seance
Edenred SE;FR0010908533;Action;842816;29.68;/fr/marche/euronext-paris/edenred-se-FR0010908533-EDEN-EUR-XPAR/seance
SEB S.A.;FR0000121709;Action;48694;76.50;/fr/marche/euronext-paris/seb-s-a-FR0000121709-SK-EUR-XPAR/seance
Métropole Télévision;FR0000053225;Action;145306;13.14;/fr/marche/euronext-paris/metropole-television-FR0000053225-MMT-EUR-XPAR/seance
Viridien;FR001400PVN6;Action;81418;46.780;/fr/marche/euronext-paris/viridien-FR001400PVN6-VIRI-EUR-XPAR/seance
Eiffage S.A.;FR0000130452;Action;220596;104.35;/fr/marche/euronext-paris/eiffage-s-a-FR0000130452-FGR-EUR-XPAR/seance
Trigano;FR0005691656;Action;19416;95.70;/fr/marche/euronext-paris/trigano-FR0005691656-TRI-EUR-XPAR/seance
Amundi Nasdaq-100 Da...;FR0010342592;Tracker;10874;839.7;/fr/marche/euronext-paris/amundi-nasdaq-100-daily-2x-l-FR0010342592-LQQ-EUR-XPAR/seance
Equasens;FR0012882389;Action;9443;36.85;/fr/marche/euronext-paris/equasens-FR0012882389-EQS-EUR-XPAR/seance
Innate Pharma;FR0010331421;Action;80511;1.704;/fr/marche/euronext-paris/innate-pharma-FR0010331421-IPH-EUR-XPAR/seance
DBV Technologies;FR0010417345;Action;358687;1.206;/fr/marche/euronext-paris/dbv-technologies-FR0010417345-DBV-EUR-XPAR/seance
Nexans;FR0000044448;Action;130882;84.50;/fr/marche/euronext-paris/nexans-FR0000044448-NEX-EUR-XPAR/seance
ASML Holding N.V.;NL0010273215;Action;1068286;577.3;/fr/marche/euronext-amsterdam/asml-holding-n-v-NL0010273215-ASML-EUR-XAMS/seance
Voltalia SA;FR0011995588;Action;56617;6.285;/fr/marche/euronext-paris/voltalia-sa-FR0011995588-VLTSA-EUR-XPAR/seance
Publicis Groupe S.A.;FR0000130577;Action;715611;81.72;/fr/marche/euronext-paris/publicis-groupe-s-a-FR0000130577-PUB-EUR-XPAR/seance
Amundi STOXX Europe ...;LU1834986900;Tracker;22610;128.988;/fr/marche/euronext-paris/amundi-stoxx-europe-600-health-LU1834986900-HLT-EUR-XPAR/seance
Etablissements Maure...;FR0000051070;Action;156259;4.298;/fr/marche/euronext-paris/etablissements-maurel-prom-FR0000051070-MAU-EUR-XPAR/seance
OPmobility SE;FR0000124570;Action;77984;8.645;/fr/marche/euronext-paris/opmobility-se-FR0000124570-OPM-EUR-XPAR/seance
Legrand;FR0010307819;Action;612710;90.20;/fr/marche/euronext-paris/legrand-FR0010307819-LR-EUR-XPAR/seance
Aéroports de Paris;FR0010340141;Action;87833;96.95;/fr/marche/euronext-paris/aeroports-de-paris-FR0010340141-ADP-EUR-XPAR/seance
Arkema;FR0010313833;Action;264267;59.95;/fr/marche/euronext-paris/arkema-FR0010313833-AKE-EUR-XPAR/seance
Elior Group;FR0011950732;Action;408737;2.370;/fr/marche/euronext-paris/elior-group-FR0011950732-ELIOR-EUR-XPAR/seance
NACON;FR0013482791;Action;220838;0.4720;/fr/marche/euronext-paris/nacon-FR0013482791-NACON-EUR-XPAR/seance
AMUNDI ETF LEVERAGED...;FR0010755611;Tracker;412067;15.970;/fr/marche/euronext-paris/amundi-etf-leveraged-msci-usa-FR0010755611-CL2-EUR-XPAR/seance
AMUNDI PEA MONDE MSC...;FR001400U5Q4;Tracker;512658;4.275;/fr/marche/euronext-paris/amundi-pea-monde-msci-world-uc-FR001400U5Q4-DCAM-EUR-XPAR/seance
Rémy Cointreau;FR0000130395;Action;86956;43.70;/fr/marche/euronext-paris/remy-cointreau-FR0000130395-RCO-EUR-XPAR/seance
Casino  Guichard-Per...;FR001400OKR3;Action;224633;0.5090;/fr/marche/euronext-paris/casino-guichard-perrachon-sa-FR001400OKR3-CO-EUR-XPAR/seance
Claranova SE;FR0013426004;Action;80728;2.125;/fr/marche/euronext-paris/claranova-se-FR0013426004-CLA-EUR-XPAR/seance
Amundi STOXX Europe ...;LU1834988518;Tracker;14217;82.509;/fr/marche/euronext-paris/amundi-stoxx-europe-600-techno-LU1834988518-TNO-EUR-XPAR/seance
EURONEXT;NL0006294274;Action;232938;137.0;/fr/marche/euronext-paris/euronext-NL0006294274-ENX-EUR-XPAR/seance
AB Science;FR0010557264;Action;10040;1.340;/fr/marche/euronext-paris/ab-science-FR0010557264-AB-EUR-XPAR/seance
AB Science;FR0010557264;Action;10040;1.340;/fr/marche/euronext-paris/ab-science-FR0010557264-AB-EUR-XPAR/seance
Nokia Oyj;FI0009000681;Action;212611;4.314;/fr/marche/euronext-paris/nokia-oyj-FI0009000681-NOKIA-EUR-XPAR/seance
Exail Technologies;FR0000062671;Action;66152;41.10;/fr/marche/euronext-paris/exail-technologies-FR0000062671-EXA-EUR-XPAR/seance
Amundi PEA Immobilie...;FR0011869304;Tracker;6734;11.472;/fr/marche/euronext-paris/amundi-pea-immobilier-europe-FR0011869304-PMEH-EUR-XPAR/seance
Sartorius Stedim Bio...;FR0013154002;Action;118498;162.65;/fr/marche/euronext-paris/sartorius-stedim-biotech-FR0013154002-DIM-EUR-XPAR/seance
Sodexo;FR0000121220;Action;418158;55.75;/fr/marche/euronext-paris/sodexo-FR0000121220-SW-EUR-XPAR/seance
Amundi PEA MSCI Chin...;FR0011871078;Tracker;40799;8.990;/fr/marche/euronext-paris/amundi-pea-msci-china-esg-lead-FR0011871078-PASI-EUR-XPAR/seance
bioMérieux;FR0013280286;Action;149284;113.8;/fr/marche/euronext-paris/biomerieux-FR0013280286-BIM-EUR-XPAR/seance
SPIE SA;FR0012757854;Action;299931;38.22;/fr/marche/euronext-paris/spie-sa-FR0012757854-SPIE-EUR-XPAR/seance
Catana Group;FR0010193052;Action;30610;3.910;/fr/marche/euronext-paris/catana-group-FR0010193052-CATG-EUR-XPAR/seance
Nanobiotix;FR0011341205;Action;158679;2.950;/fr/marche/euronext-paris/nanobiotix-FR0011341205-NANO-EUR-XPAR/seance
Bénéteau;FR0000035164;Action;117219;7.390;/fr/marche/euronext-paris/beneteau-FR0000035164-BEN-EUR-XPAR/seance
PHAXIAM Therapeutics...;FR001400K4B1;Action;15098;0.674;/fr/marche/euronext-paris/phaxiam-therapeutics-s-a-FR001400K4B1-PHXM-EUR-XPAR/seance
Prodways Group;FR0012613610;Action;86834;0.618;/fr/marche/euronext-paris/prodways-group-FR0012613610-PWG-EUR-XPAR/seance
Fnac Darty;FR0011476928;Action;18592;26.540;/fr/marche/euronext-paris/fnac-darty-FR0011476928-FNAC-EUR-XPAR/seance
CBO TERRITORIA;FR0010193979;Action;11218;3.61;/fr/marche/euronext-paris/cbo-territoria-FR0010193979-CBOT-EUR-XPAR/seance
Alten;FR0000071946;Action;36980;78.55;/fr/marche/euronext-paris/alten-FR0000071946-ATE-EUR-XPAR/seance
Kaufman & Broad SA;FR0004007813;Action;22105;30.60;/fr/marche/euronext-paris/kaufman-broad-sa-FR0004007813-KOF-EUR-XPAR/seance
