Nom;ISIN;Type;Volume;Prix;URL
TotalEnergies SE;FR0000120271;Action;6233814;48.665;/fr/marche/euronext-paris/totalenergies-se-FR0000120271-TTE-EUR-XPAR/seance
L'Air Liquide;FR0000120073;Action;988773;168.34;/fr/marche/euronext-paris/l-air-liquide-FR0000120073-AI-EUR-XPAR/seance
THEAM EASYETF BNP PA...;FR0011550185;Tracker;546887;23.2071;/fr/marche/euronext-paris/theam-easyetf-bnp-paribas-easy-FR0011550185-ESE-EUR-XPAR/seance
AMUNDI MSCI WORLD UC...;LU1681043599;Tracker;11148;479.9277;/fr/marche/euronext-paris/amundi-msci-world-ucits-etf-LU1681043599-CW8-EUR-XPAR/seance
Amundi MSCI World Di...;LU2655993207;Tracker;29120;28.755;/fr/marche/euronext-paris/amundi-msci-world-dist-LU2655993207-EWLD-EUR-XPAR/seance
BOURSE DIRECT;FR0000074254;Action;5670;4.30;/fr/marche/euronext-paris/bourse-direct-FR0000074254-BSD-EUR-XPAR/seance
LVMH Moët Hennessy L...;FR0000121014;Action;574896;524.4;/fr/marche/euronext-paris/lvmh-moet-hennessy-louis-vuitton-se-FR0000121014-MC-EUR-XPAR/seance
Amundi PEA S&P 500 U...;FR0011871128;Tracker;140961;40.305;/fr/marche/euronext-paris/amundi-pea-s-p-500-ucits-etf-a-FR0011871128-PSP5-EUR-XPAR/seance
Stellantis N.V.;NL00150001Q9;Action;6340415;7.665;/fr/marche/euronext-paris/stellantis-n-v-NL00150001Q9-STLAP-EUR-XPAR/seance
Amundi PEA Nasdaq-10...;FR0011871110;Tracker;57635;64.68;/fr/marche/euronext-paris/amundi-pea-nasdaq-100-ucits-et-FR0011871110-PUST-EUR-XPAR/seance
AXA;FR0000120628;Action;5053470;37.13;/fr/marche/euronext-paris/axa-FR0000120628-CS-EUR-XPAR/seance
Viel & Cie;FR0000050049;Action;31571;13.45;/fr/marche/euronext-paris/viel-cie-FR0000050049-VIL-EUR-XPAR/seance
Orange;FR0000133308;Action;11270859;12.205;/fr/marche/euronext-paris/orange-FR0000133308-ORA-EUR-XPAR/seance
BNP PARIBAS ACT.A;FR0000131104;Action;5435045;65.61;/fr/marche/euronext-paris/bnp-paribas-act-a-FR0000131104-BNP-EUR-XPAR/seance
La Française des Jeu...;FR0013451333;Action;384523;29.74;/fr/marche/euronext-paris/la-francaise-des-jeux-FR0013451333-FDJU-EUR-XPAR/seance
Sanofi;FR0000120578;Action;2430603;89.62;/fr/marche/euronext-paris/sanofi-FR0000120578-SAN-EUR-XPAR/seance
Schneider Electric S...;FR0000121972;Action;1364329;197.00;/fr/marche/euronext-paris/schneider-electric-se-FR0000121972-SU-EUR-XPAR/seance
VINCI;FR0000125486;Action;1387932;113.25;/fr/marche/euronext-paris/vinci-FR0000125486-DG-EUR-XPAR/seance
ENGIE;FR0010208488;Action;6656911;18.060;/fr/marche/euronext-paris/engie-FR0010208488-ENGI-EUR-XPAR/seance
Amundi PEA MSCI Emer...;FR0013412020;Tracker;25194;21.750;/fr/marche/euronext-paris/amundi-pea-msci-emerging-marke-FR0013412020-PAEEM-EUR-XPAR/seance
Airbus SE;NL0000235190;Action;1972263;134.86;/fr/marche/euronext-paris/airbus-se-NL0000235190-AIR-EUR-XPAR/seance
AtoS SE;FR0000051732;Action;306684659;0.0038;/fr/marche/euronext-paris/atos-se-FR0000051732-ATO-EUR-XPAR/seance
Rubis;FR0013269123;Action;382366;24.90;/fr/marche/euronext-paris/rubis-FR0013269123-RUI-EUR-XPAR/seance
AMUNDI ASSET MANAGEM...;FR0013412285;Tracker;61521;37.550;/fr/marche/euronext-paris/amundi-asset-management-amundi-FR0013412285-PE500-EUR-XPAR/seance
L'Oréal;FR0000120321;Action;449954;347.60;/fr/marche/euronext-paris/l-oreal-FR0000120321-OR-EUR-XPAR/seance
CREDIT AGRICOLE;FR0000045072;Action;5726661;15.410;/fr/marche/euronext-paris/credit-agricole-FR0000045072-ACA-EUR-XPAR/seance
Pernod Ricard;FR0000120693;Action;526678;90.68;/fr/marche/euronext-paris/pernod-ricard-FR0000120693-RI-EUR-XPAR/seance
STMicroelectronics N...;NL0000226223;Action;5275662;17.584;/fr/marche/euronext-paris/stmicroelectronics-n-v-NL0000226223-STMPA-EUR-XPAR/seance
Veolia Environnement;FR0000124141;Action;2407683;29.73;/fr/marche/euronext-paris/veolia-environnement-FR0000124141-VIE-EUR-XPAR/seance
Alstom;FR0010220475;Action;1102681;18.490;/fr/marche/euronext-paris/alstom-FR0010220475-ALO-EUR-XPAR/seance
Dassault Systèmes SE;FR0014003TT8;Action;2131432;32.12;/fr/marche/euronext-paris/dassault-systemes-se-FR0014003TT8-DSY-EUR-XPAR/seance
Amundi PEA US Tech S...;FR0013412269;Tracker;17610;46.643;/fr/marche/euronext-paris/amundi-pea-us-tech-screened-uc-FR0013412269-PANX-EUR-XPAR/seance
SOCIETE GENERALE;FR0000130809;Action;3322067;37.07;/fr/marche/euronext-paris/societe-generale-FR0000130809-GLE-EUR-XPAR/seance
Compagnie de Saint-G...;FR0000125007;Action;1156123;82.36;/fr/marche/euronext-paris/compagnie-de-saint-gobain-FR0000125007-SGO-EUR-XPAR/seance
Thales;FR0000121329;Action;326048;245.1;/fr/marche/euronext-paris/thales-FR0000121329-HO-EUR-XPAR/seance
Kering;FR0000121485;Action;351939;168.02;/fr/marche/euronext-paris/kering-FR0000121485-KER-EUR-XPAR/seance
Carrefour;FR0000120172;Action;3107576;13.095;/fr/marche/euronext-paris/carrefour-FR0000120172-CA-EUR-XPAR/seance
Danone;FR0000120644;Action;1591298;71.20;/fr/marche/euronext-paris/danone-FR0000120644-BN-EUR-XPAR/seance
Air France-KLM;FR001400J770;Action;1227443;7.444;/fr/marche/euronext-paris/air-france-klm-FR001400J770-AF-EUR-XPAR/seance
Nexity;FR0010112524;Action;165548;8.790;/fr/marche/euronext-paris/nexity-FR0010112524-NXI-EUR-XPAR/seance
Renault;FR0000131906;Action;971039;42.74;/fr/marche/euronext-paris/renault-FR0000131906-RNO-EUR-XPAR/seance
Vallourec;FR0013506730;Action;713765;14.645;/fr/marche/euronext-paris/vallourec-FR0013506730-VK-EUR-XPAR/seance
Worldline;FR0011981968;Action;1300267;5.350;/fr/marche/euronext-paris/worldline-FR0011981968-WLN-EUR-XPAR/seance
Teleperformance SE;FR0000051807;Action;202924;86.50;/fr/marche/euronext-paris/teleperformance-se-FR0000051807-TEP-EUR-XPAR/seance
Gaztransport & Techn...;FR0011726835;Action;98013;129.8;/fr/marche/euronext-paris/gaztransport-technigaz-FR0011726835-GTT-EUR-XPAR/seance
Bouygues SA;FR0000120503;Action;907864;35.04;/fr/marche/euronext-paris/bouygues-sa-FR0000120503-EN-EUR-XPAR/seance
BNP Paribas Easy Sto...;FR0011550193;Tracker;122736;15.414;/fr/marche/euronext-paris/bnp-paribas-easy-stoxx-europe-FR0011550193-ETZ-EUR-XPAR/seance
Compagnie Générale d...;FR001400AJ45;Action;1588712;29.34;/fr/marche/euronext-paris/compagnie-generale-des-etablissements-michelin-FR001400AJ45-ML-EUR-XPAR/seance
Amundi PEA Eau (MSCI...;FR0011882364;Tracker;11105;26.900;/fr/marche/euronext-paris/amundi-pea-eau-msci-water-uc-FR0011882364-AWAT-EUR-XPAR/seance
Ubisoft Entertainmen...;FR0000054470;Action;1264337;8.688;/fr/marche/euronext-paris/ubisoft-entertainment-FR0000054470-UBI-EUR-XPAR/seance
Safran;FR0000073272;Action;864980;204.7;/fr/marche/euronext-paris/safran-FR0000073272-SAF-EUR-XPAR/seance
Capgemini SE;FR0000125338;Action;619038;124.60;/fr/marche/euronext-paris/capgemini-se-FR0000125338-CAP-EUR-XPAR/seance
Eutelsat Communicati...;FR0010221234;Action;1025199;3.660;/fr/marche/euronext-paris/eutelsat-communications-FR0010221234-ETL-EUR-XPAR/seance
Clariane SE;FR0010386334;Action;701961;3.642;/fr/marche/euronext-paris/clariane-se-FR0010386334-CLARI-EUR-XPAR/seance
Valneva;FR0004056851;Action;639931;2.774;/fr/marche/euronext-paris/valneva-FR0004056851-VLA-EUR-XPAR/seance
Soitec;FR0013227113;Action;193543;43.58;/fr/marche/euronext-paris/soitec-FR0013227113-SOI-EUR-XPAR/seance
Amundi PEA Inde (MSC...;FR0011869320;Tracker;17590;23.958;/fr/marche/euronext-paris/amundi-pea-inde-msci-india-u-FR0011869320-PINR-EUR-XPAR/seance
EssilorLuxottica;FR0000121667;Action;801527;241.2;/fr/marche/euronext-paris/essilorluxottica-FR0000121667-EL-EUR-XPAR/seance
AMUNDI ETF PEA MSCI ...;FR0013412038;Tracker;13378;28.955;/fr/marche/euronext-paris/amundi-etf-pea-msci-europe-uci-FR0013412038-PCEU-EUR-XPAR/seance
Ayvens;FR0013258662;Action;208056;7.780;/fr/marche/euronext-paris/ayvens-FR0013258662-AYV-EUR-XPAR/seance
Amundi PEA MSCI Emer...;FR0013412012;Tracker;16752;22.511;/fr/marche/euronext-paris/amundi-pea-msci-emerging-asia-FR0013412012-PAASI-EUR-XPAR/seance
FORVIA SE;FR0000121147;Action;2180484;5.618;/fr/marche/euronext-paris/forvia-se-FR0000121147-FRVIA-EUR-XPAR/seance
Amundi CAC 40 UCITS ...;FR0007052782;Tracker;56557;70.14;/fr/marche/euronext-paris/amundi-cac-40-ucits-etf-dist-FR0007052782-CAC-EUR-XPAR/seance
Hermès International;FR0000052292;Action;62531;2 287.0000;/fr/marche/euronext-paris/hermes-international-FR0000052292-RMS-EUR-XPAR/seance
EMEIS;FR001400NLM4;Action;531405;10.314;/fr/marche/euronext-paris/emeis-FR001400NLM4-EMEIS-EUR-XPAR/seance
COFACE;FR0010667147;Action;234839;16.13;/fr/marche/euronext-paris/coface-FR0010667147-COFA-EUR-XPAR/seance
Solutions 30 SE;FR0013379484;Action;408716;1.537;/fr/marche/euronext-paris/solutions-30-se-FR0013379484-S30-EUR-XPAR/seance
AMUNDI RUSSELL 2000 ...;LU1681038672;Tracker;11436;236.7975;/fr/marche/euronext-paris/amundi-russell-2000-ucits-etf-LU1681038672-RS2K-EUR-XPAR/seance
Vivendi SE;FR0000127771;Action;1788005;2.364;/fr/marche/euronext-paris/vivendi-se-FR0000127771-VIV-EUR-XPAR/seance
Eramet;FR0000131757;Action;54145;44.56;/fr/marche/euronext-paris/eramet-FR0000131757-ERA-EUR-XPAR/seance
Eurofins Scientific ...;FR0014000MR3;Action;488464;47.50;/fr/marche/euronext-paris/eurofins-scientific-se-FR0014000MR3-ERF-EUR-XPAR/seance
Valeo SE;FR0013176526;Action;1819661;7.502;/fr/marche/euronext-paris/valeo-se-FR0013176526-FR-EUR-XPAR/seance
Imerys;FR0000120859;Action;75241;26.96;/fr/marche/euronext-paris/imerys-FR0000120859-NK-EUR-XPAR/seance
ABC ARBITRAGE;FR0004040608;Action;92707;5.77;/fr/marche/euronext-paris/abc-arbitrage-FR0004040608-ABCA-EUR-XPAR/seance
Technip Energies N.V...;NL0014559478;Action;253133;27.36;/fr/marche/euronext-paris/technip-energies-n-v-NL0014559478-TE-EUR-XPAR/seance
OVH Groupe;FR0014005HJ9;Action;143147;10.99;/fr/marche/euronext-paris/ovh-groupe-FR0014005HJ9-OVH-EUR-XPAR/seance
